"year","code","product","country","Exported","Imported"
2007,"39","Plastics and articles thereof","all",NA,2693595
2007,"39","Plastics and articles thereof","ЄС",NA,1513776
2007,"39","Plastics and articles thereof","Росія",NA,291417
2007,"40","Rubber and articles thereof","Росія",NA,329275
2007,"44","Wood and articles of wood; wood charcoal","ЄС",606458,NA
2007,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","all",NA,1317789
2007,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","ЄС",NA,915259
2007,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","Росія",487588,284915
2007,"62","Articles of apparel and clothing accessories, not knitted or crocheted","ЄС",543732,NA
2007,"72","Iron and steel","all",16733313,NA
2007,"72","Iron and steel","ЄС",3514713,NA
2007,"72","Iron and steel","Росія",2100251,1323048
2007,"73","Articles of iron or steel","all",2912293,NA
2007,"73","Articles of iron or steel","Росія",1317441,NA
2007,"82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","all",59928,NA
2007,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","all",2738088,7444096
2007,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","ЄС",357744,4330061
2007,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","Росія",1538590,1371398
2007,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","all",2239017,3134512
2007,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","ЄС",980144,1987646
2007,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","Росія",787543,375093
2007,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","all",1841160,NA
2007,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","Росія",1434927,NA
2007,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","all",NA,7770813
2007,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","ЄС",NA,3360483
2007,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","Росія",794678,1156602
2007,"TOTAL","All products","all",49294390,60600581
2007,"TOTAL","All products","ЄС",13916379,22270600
2007,"TOTAL","All products","Росія",12668478,16838246
2008,"02","Meat and edible meat offal","Росія",62191,NA
2008,"04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...","Росія",376315,NA
2008,"10","Cereals","all",3703787,NA
2008,"10","Cereals","ЄС",962301,NA
2008,"12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...","ЄС",1190594,NA
2008,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","all",1945736,NA
2008,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","ЄС",658743,NA
2008,"26","Ores, slag and ash","all",2153604,NA
2008,"26","Ores, slag and ash","ЄС",1404692,NA
2008,"26","Ores, slag and ash","Росія",NA,175197
2008,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","all",4109201,22831912
2008,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","ЄС",1480340,1994469
2008,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","Росія",792501,8679217
2008,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","all",1603558,NA
2008,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","Росія",551854,NA
2008,"29","Organic chemicals","Росія",NA,323262
2008,"30","Pharmaceutical products","all",NA,2433183
2008,"30","Pharmaceutical products","ЄС",NA,1694429
2008,"31","Fertilisers","Росія",NA,358951
2008,"39","Plastics and articles thereof","all",NA,3518506
2008,"39","Plastics and articles thereof","ЄС",NA,1887143
2008,"39","Plastics and articles thereof","Росія",NA,350508
2008,"40","Rubber and articles thereof","Росія",NA,329970
2008,"44","Wood and articles of wood; wood charcoal","ЄС",563341,NA
2008,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","all",NA,1586447
2008,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","ЄС",NA,1164898
2008,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","Росія",527138,266433
2008,"62","Articles of apparel and clothing accessories, not knitted or crocheted","ЄС",545011,NA
2008,"72","Iron and steel","all",22954442,NA
2008,"72","Iron and steel","ЄС",5242072,NA
2008,"72","Iron and steel","Росія",2402526,1944285
2008,"73","Articles of iron or steel","all",3532918,NA
2008,"73","Articles of iron or steel","Росія",1185102,NA
2008,"82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","all",61855,NA
